simulation_id,final_value,cagr
34519,1198343.2741458167,0.07051583844520981
34520,2254238.1310423487,0.1003335076017069
34521,1719242.3530005203,0.08744817622859302
34522,1968342.3512901305,0.09386444332541655
34523,1384772.870537257,0.07726714490279352
34524,1506083.468055368,0.08120759653665144
34525,1316399.5212248631,0.074898091053055
34526,1586274.7625990266,0.08364897952358774
34527,1790938.29638299,0.0893815776584399
34528,807448.2854189515,0.05229626950119637
34529,1273111.388775331,0.0733365788854512
34530,1548472.0521318095,0.08251317233857858
34531,973552.8674403488,0.06089014331285325
34532,1555535.2737930422,0.08272739191929945
34533,1243144.9662298763,0.07222557961634934
34534,1908932.7943640107,0.09240784423979109
34535,1577478.0024160733,0.0833870046625318
34536,2061667.5501449306,0.09606977313903098
34537,1142892.8278583547,0.0683129673052092
34538,1700453.8731175633,0.0869287600490869
34539,1547774.9396755781,0.08249197905005445
34540,1940028.936194065,0.0931755802284131
34541,2026838.2095268285,0.09525811965804176
34542,1507448.3502020407,0.08125017982561955
34543,1232806.265924039,0.07183632312525567
34544,872988.9493159822,0.05587299921535127
34545,1417417.5905985946,0.0783590390133142
34546,1069881.684813517,0.06525109398396078
34547,1380618.0243063287,0.07712641189861968
34548,1115717.5869235813,0.0671957786579187
34549,1121477.8071354963,0.06743474184762421
34550,1037231.4640770447,0.06381661365321833
34551,1448915.8721297663,0.07939002009469487
34552,1741876.3298818492,0.08806674043403429
34553,1121041.3710548258,0.06741667741585089
34554,860959.2739999993,0.05523619255622303
34555,1099231.949542649,0.06650529142913841
34556,2737160.7159355525,0.10965909688069919
34557,818424.6367686365,0.052914208598997536
34558,1598662.9323144194,0.08401556278375799
34559,1702324.6313317465,0.08698072345930541
34560,1149897.1744837118,0.06859680040962624
34561,1321717.633818002,0.07508653038434998
34562,813800.9164759966,0.05265487773883226
34563,1956815.1417684536,0.0935851384208215
34564,1880361.2303026011,0.091691818654688
34565,762176.0164558426,0.049659619068867844
34566,1312430.850461201,0.07475699210255082
34567,2260196.920804412,0.10045980846752567
34568,1062302.6979288354,0.0649218822865476
34569,1123298.144642096,0.06751001460357808
34570,1493595.2977528465,0.08081625205670173
34571,1426868.390464687,0.07867065891733738
34572,900171.5204396517,0.05728157391194988
34573,1610057.396569251,0.08435034979634648
34574,1040569.7747542544,0.06396524909908052
34575,2435091.8712839833,0.10403168265108631
34576,2026587.8043001282,0.09525223611934108
34577,1690661.3868503133,0.08665586205609954
34578,1481368.4447664102,0.08043005240161505
34579,1706010.3634546227,0.08708294115460458
34580,1102218.469166508,0.06663111080341966
34581,1707084.467147349,0.08711268989978449
34582,1675607.5271152172,0.08623337666017172
34583,1401175.3448937053,0.07781881328977147
34584,1239179.3295002047,0.07207663907155015
34585,1277080.7398728367,0.07348186176700322
34586,1053680.9863611553,0.06454463462730531
34587,1390289.2330270496,0.0774533723851294
34588,2081586.999078022,0.09652809460135425
34589,1517039.2112290943,0.08154837147844773
34590,1886910.0676837042,0.09185685241180952
34591,1563729.4568504684,0.08297474955102824
34592,1006110.6978738277,0.06240854405705565
34593,1244106.7587390128,0.07226163393529106
34594,2355659.020255398,0.10244091412147593
34595,1236748.982918114,0.07198513514255955
34596,1422278.9540681439,0.0785195794547644
34597,1623362.4818596598,0.08473841749470923
34598,2729644.884657897,0.10952644621218144
34599,2127768.4855624223,0.09757473824140406
34600,1255988.643301174,0.07270485938298776
34601,1094760.5351158564,0.0663163021879345
34602,1368454.309777637,0.07671206110503626
34603,1709713.9376379692,0.0871854411209767
34604,1359734.9386180383,0.0764128666499071
34605,1175421.147627315,0.06961728540961176
34606,2135193.746755231,0.09774099137569214
34607,2728625.729152968,0.10950843173392477
34608,1127895.6513955218,0.06769960781250006
34609,1546763.9535864843,0.08246122729351524
