,Global equity,Infrastructure,Euro government bonds,Euro corporate bonds,Gold
Global equity,1.0,0.7893970176818289,0.033155001167588925,0.23981969798210404,0.07102360553986488
Infrastructure,0.7893970176818289,1.0,0.12616223831342468,0.2541197392163265,0.13889720877551934
Euro government bonds,0.033155001167588925,0.12616223831342468,1.0,0.6341896711605952,0.1970232002417078
Euro corporate bonds,0.23981969798210404,0.2541197392163265,0.6341896711605952,1.0,0.19745101258497805
Gold,0.07102360553986488,0.13889720877551934,0.1970232002417078,0.19745101258497805,1.0
